
IT Botham,116,106,15,2113,79,23.21,2671,6,9,0,79.1
MW Gatting,92,88,17,2095,115,29.5,2968,4,9,1,70.58
NH Fairbrother,75,71,18,2092,113,39.47,2903,2,16,1,72.06
RL Powell,109,100,16,2085,124,24.82,2157,8,8,1,96.66
CL White,91,77,16,2072,105,33.96,2586,4,11,2,80.12
GC Wilson,105,99,12,2072,113,23.81,2880,6,12,1,71.94
CO Obuya,104,89,9,2044,98,25.55,2981,6,11,0,68.56
Yasir Hameed,56,56,1,2028,127,36.87,3029,2,12,3,66.95
WPUJC Vaas,322,220,72,2025,50,13.68,2796,25,1,0,72.42
KO Otieno,90,87,1,2016,144,23.44,3561,12,12,2,56.61
SV Manjrekar,74,70,10,1994,105,33.23,3101,3,15,1,64.3
MP Vaughan,86,83,10,1982,90,27.15,2898,9,16,0,68.39
CH Lloyd,87,69,19,1977,102,39.54,2434,1,11,1,81.22
GD Elliott,83,69,11,1976,115,34.06,2416,6,11,2,81.78
BKG Mendis,73,71,3,1973,102,29.01,2367,10,16,1,83.35
KJ Hughes,97,88,6,1968,98,24,2919,12,17,0,67.42
A Bagai,62,60,8,1964,137,37.76,2995,2,16,2,65.57
Fakhar Zaman,46,46,4,1958,210,46.61,2056,5,13,4,95.23
LMP Simmons,68,65,3,1958,122,31.58,2680,9,16,2,73.05
Aftab Ahmed,85,85,6,1954,92,24.73,2353,8,14,0,83.04
PJL Dujon,169,120,36,1945,82,23.15,2881,8,6,0,67.51
M Amarnath,85,75,12,1924,102,30.53,3334,2,13,2,57.7
KLT Arthurton,105,93,20,1904,84,26.08,2822,12,9,0,67.46
Imran Nazir,79,79,2,1895,160,24.61,2339,10,9,2,81.01
RD Berrington,78,73,6,1882,101,28.08,2535,3,13,1,74.24
Mohsin Khan,75,75,5,1877,117,26.81,3373,3,8,2,55.64
JV Coney,88,80,19,1874,66,30.72,2885,1,8,0,64.95
DJG Sammy,126,105,30,1871,89,24.94,1870,4,9,0,100.05
RD Jacobs,147,112,32,1865,80,23.31,2662,11,9,0,70.06
M Prabhakar,130,98,21,1858,106,24.12,3083,8,11,2,60.26
Azhar Ali,53,53,3,1845,102,36.9,2478,3,12,3,74.45
OA Shah,71,66,6,1834,107,30.56,2331,6,12,1,78.67
MW Goodwin,71,70,3,1818,112,27.13,2654,1,8,2,68.5
Khaled Mashud,126,110,27,1818,71,21.9,3315,8,7,0,54.84
BA Edgar,64,64,5,1814,102,30.74,3685,3,10,1,49.22
A Balbirnie,64,61,4,1813,145,31.8,2413,4,8,5,75.13
Samiullah Shinwari,84,74,12,1811,96,29.2,2765,1,11,0,65.49
JO Holder,112,89,19,1798,99,25.68,1907,9,9,0,94.28
DJ Hussey,69,61,6,1796,111,32.65,1980,4,14,1,90.7
MA Atherton,54,54,3,1791,127,35.11,3054,4,12,2,58.64
Mashrafe Mortaza,217,156,27,1786,51,13.84,2037,15,1,0,87.67
MS Wade,94,80,11,1777,100,25.75,2164,5,10,1,82.11
MM Ali,101,82,13,1766,128,25.59,1697,5,5,3,104.06
IA Healy,168,120,36,1764,56,21,2104,9,4,0,83.84
KD Karthik,94,79,21,1752,79,30.2,2392,6,9,0,73.24
Sir RJ Hadlee,115,98,17,1751,79,21.61,2319,4,4,0,75.5
Soumya Sarkar,55,54,3,1728,127,33.88,1753,5,11,2,98.57
Imam-ul-Haq,37,37,5,1723,151,53.84,2141,2,6,7,80.47
Imran Farhat,58,58,2,1719,107,30.69,2489,3,13,1,69.06
CB Wishart,90,82,8,1719,172,23.22,2436,8,5,2,70.56
Rashid Latif,166,117,29,1709,79,19.42,2237,8,3,0,76.39
DA Gunawardene,61,61,1,1708,132,28.46,2389,5,12,1,71.49
AT Rayudu,55,50,14,1694,124,47.05,2143,3,10,3,79.04
ND McKenzie,64,55,10,1688,131,37.51,2432,2,10,2,69.4
NC Johnson,48,48,2,1679,132,36.5,2389,2,11,4,70.28
BA Young,74,73,5,1668,74,24.52,2733,5,9,0,61.03
UDU Chandana,147,111,17,1627,89,17.3,2229,8,5,0,72.99
CK Kapugedera,102,84,7,1624,95,21.09,2254,7,8,0,72.04
Haris Sohail,41,40,5,1614,130,46.11,1895,1,13,2,85.17
GM Turner,41,40,6,1598,171,47,2348,1,9,3,68.05
LPC Silva,75,62,7,1587,107,28.85,2254,6,13,1,70.4
Najibullah Zadran,67,62,9,1586,104,29.92,1765,3,11,1,89.85
SC Williams,57,55,6,1586,105,32.36,2402,6,12,1,66.02
Saleem Elahi,48,47,4,1579,135,36.72,2214,3,9,4,71.31
